Observed,Predicted,Intercept,C1_AOD,C2_Sta_Te,C3_Sta_Hu,C4_Sta_Ai,C5_Sta_Wi,C6_Sta_Wi,C7_Sta_ND,Residual,监测点编码,监测点名称,城市,X,Y,Timestamp,Time,PM2_5_12,PM2_5_AV,PM2_5_ACCU
26.0000000000,26.9097876375,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,-0.9097876375,2011A,四中,临安,119.69420000000,30.23110000000,628,0,29,26,26
23.0000000000,30.3070496469,19.8827050922,43.9587895596,-19.3378352368,-15.9570900557,19.3007039058,25.8857437541,-2.5627061562,-6.3619209913,-7.3070496469,2012A,监测站,富阳,119.95400000000,30.05400000000,628,0,16,23,23
37.0000000000,23.0977575351,21.8962061335,49.1495350065,-15.9656528381,-16.5442557287,7.4569792960,18.1447423284,-1.6530228907,-1.0701961869,13.9022424649,1226A,下沙,杭州,120.34800000000,30.30580000000,633,0,26,45,37
31.0000000000,20.1432817320,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,10.8567182680,1228A,浙江农大,杭州,120.19000000000,30.26920000000,633,0,17,33,31
34.0000000000,21.3185711690,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,12.6814288310,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,633,0,19,38,34
44.0000000000,29.1588806099,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,14.8411193901,1228A,浙江农大,杭州,120.19000000000,30.26920000000,634,0,39,60,44
50.0000000000,36.0474198684,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,13.9525801316,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,634,0,49,65,50
37.0000000000,45.6166750668,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,-8.6166750668,1223A,滨江,杭州,120.21100000000,30.21000000000,1000,150805,35,37,37
39.0000000000,45.6153591359,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-6.6153591359,1224A,西溪,杭州,120.06300000000,30.27470000000,1000,0,39,39,39
47.0000000000,50.7487942590,21.8962061335,49.1495350065,-15.9656528381,-16.5442557287,7.4569792960,18.1447423284,-1.6530228907,-1.0701961869,-3.7487942590,1226A,下沙,杭州,120.34800000000,30.30580000000,1000,0,48,47,47
